Label,Segments,Total_Words,Mean_Compound,Mean_Polarity,Mean_Subjectivity,Mean_VADER_Positive,Mean_VADER_Negative,Count_Positive,Count_Neutral,Count_Negative,Pct_Positive,Pct_Neutral,Pct_Negative,Count_Strong,Count_Moderate,Count_Mild,Count_IntensityNeutral,Pct_Strong,Pct_Moderate,Pct_Mild,Pct_IntensityNeutral,AvgProportion_Joy,AvgProportion_Trust,AvgProportion_Fear,AvgProportion_Surprise,AvgProportion_Sadness,AvgProportion_Disgust,AvgProportion_Anger,AvgProportion_Anticipation,DomCount_Joy,Dom_Pct_Joy,DomCount_Trust,Dom_Pct_Trust,DomCount_Fear,Dom_Pct_Fear,DomCount_Surprise,Dom_Pct_Surprise,DomCount_Sadness,Dom_Pct_Sadness,DomCount_Disgust,Dom_Pct_Disgust,DomCount_Anger,Dom_Pct_Anger,DomCount_Anticipation,Dom_Pct_Anticipation,DomCount_Neutral,Dom_Pct_Neutral
M1: Beginning,107,7772,0.7229,0.1867,0.5005,0.1916,0.0246,102,3,2,95.3,2.8,1.9,79,19,6,3,73.8,17.8,5.6,2.8,0.1916,0.3049,0.0434,0.0745,0.0666,0.0393,0.0438,0.1611,36,33.6,41,38.3,4,3.7,2,1.9,4,3.7,2,1.9,0,0.0,10,9.3,8,7.5
M2: Social Groups,111,9642,0.5555,0.0446,0.4949,0.1982,0.0691,92,0,19,82.9,0.0,17.1,84,17,10,0,75.7,15.3,9.0,0.0,0.129,0.2076,0.0944,0.0851,0.13,0.0602,0.1087,0.1129,24,21.6,32,28.8,16,14.4,7,6.3,11,9.9,2,1.8,5,4.5,6,5.4,8,7.2
M3: Communication,105,9171,0.72,0.1507,0.4776,0.1861,0.029,95,6,4,90.5,5.7,3.8,80,11,8,6,76.2,10.5,7.6,5.7,0.1795,0.2594,0.0521,0.0787,0.076,0.0285,0.0517,0.1977,31,29.5,35,33.3,4,3.8,3,2.9,8,7.6,0,0.0,2,1.9,14,13.3,8,7.6
M4: Building Relationships,116,9887,0.6214,0.1379,0.5174,0.1849,0.0375,99,10,7,85.3,8.6,6.0,79,15,12,10,68.1,12.9,10.3,8.6,0.1969,0.2664,0.0558,0.0647,0.0539,0.0249,0.0371,0.1537,41,35.3,30,25.9,7,6.0,3,2.6,3,2.6,0,0.0,0,0.0,15,12.9,17,14.7
M5: Trust Conflict,90,9406,0.6787,0.1129,0.4929,0.1932,0.053,81,1,8,90.0,1.1,8.9,62,17,10,1,68.9,18.9,11.1,1.1,0.1815,0.2327,0.0835,0.0536,0.1073,0.0573,0.0695,0.1368,30,33.3,28,31.1,7,7.8,1,1.1,10,11.1,2,2.2,2,2.2,3,3.3,7,7.8
M6: Mental Health Identity,98,9551,0.5963,0.1309,0.5266,0.1824,0.0555,81,3,14,82.7,3.1,14.3,69,17,9,3,70.4,17.3,9.2,3.1,0.1952,0.2215,0.0953,0.0513,0.1139,0.0421,0.0667,0.1629,32,32.7,26,26.5,13,13.3,0,0.0,7,7.1,1,1.0,2,2.0,12,12.2,5,5.1
